Номенклатура,,,,Персональный номер,Причина претензии,Описание дефекта,Поставщик,Ответственность за брак,Переместить на склад,Док перемещения,Склад обнаружения,Претензия,Номер отправления,Вид дефекта,,,
"Унитаз-компакт ""Стандарт Эконом"" белый  Киров, кос.выпуск, сид. полипропилен (упрощенное)",,,,д6587,заводской брак,скол на бачке,Кировская керамика АО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002081 от 02.10.2025 13:24:08,,Существенный,1,,"3 883,04"
"Унитаз-компакт ""Стандарт Эконом"" белый  Киров, кос.выпуск, сид. полипропилен (упрощенное)",,,,д6588,заводской брак,скол на бачке и крышки,Кировская керамика АО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002081 от 02.10.2025 13:24:08,,Существенный,1,,"3 883,04"
"Раковина Монако V51D1 на стир. машину 600*585*90 (кронштейны, сифон в компл)  ",,,,д6595,бой в целой коробке,скол угла эмали,ЗАВОД ИНЖЕНЕРНОГО КАМНЯ ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002078 от 02.10.2025 10:23:33,,Существенный,1,,"5 001,60"
"75 Тумба ""Michael 75"" (ум. Дуглас 750)",,,,д6592,заводской брак,отслоение пленки,ГЭОС,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"6 890,00"
"75 Тумба ""Michael 75"" (ум. Дуглас 750)",,,,д6594,заводской брак,бой задней планки,ГЭОС,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"6 890,00"
"Компакт:NATURE NEW CLEAN ON 011 3/5, с кр. дюропл., lifting easy-off,белый, Сорт1 (9)",,,,д6591,заводской брак,скол заводской на крышке бачка,КЕРАМИК СОЛЮШНС РУС ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002076 от 02.10.2025 9:53:10,,Существенный,1,,"9 273,60"
"Унитаз-моноблок SM9609 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6556,заводской брак,скол сиденья,Китай - Смув,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 440,31"
"Унитаз-компакт ""Комфорт"" Люкс белый Киров, антивсплеск, кос.выпуск, сид.микролифт, армат. 3/6",,,,д6625,заводской брак,Деформированный выпуск унитаза,Кировская керамика АО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002081 от 02.10.2025 13:24:08,,Существенный,1,,"5 454,94"
"Унитаз-компакт ""Комфорт"" Люкс белый Киров, антивсплеск, кос.выпуск, сид.микролифт, армат. 3/6",,,,д6623,заводской брак,Деформированный выпуск унитаза,Кировская керамика АО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002081 от 02.10.2025 13:24:08,,Существенный,1,,"5 454,94"
Зеркало Maria 100x80 прямоугольное с LED подсветкой (2 варианта навеса),,,,д6204,бой при хранении (склад),бой при хранении,ДАБЛ-Ю ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"5 780,96"
"Зеркало Норма прямоугольное 1000х800 (LED-подсветка, сенсорный выключатель, диммер)",,,,д6203,бой при хранении (склад),бой при хранении,Мир зеркал ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"5 169,00"
"60 Тумба ""Paola 60"" (ум. Элеганс 60)",,,,д6597,бой,бой,Росток-Мебель,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000096 от 14.10.2025 8:44:18,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"3 072,45"
"Унитаз-моноблок SM9618 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6089,бой\скол от поставщика,,Китай - Смув,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 605,66"
"Унитаз-моноблок SM9618T безободковый круговой смыв, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6083,бой при хранении (склад),бой приход,Китай - Смув,Сотрудники,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"6 504,63"
