Номенклатура,,,,Персональный номер,Причина претензии,Описание дефекта,Поставщик,Ответственность за брак,Переместить на склад,Док перемещения,Склад обнаружения,Претензия,Номер отправления,Вид дефекта,,,
"105 Тумба ""Viktoria 105"" (ум. Дуглас -105/Виктория-100)",,,,д5984,заводской брак,"отслоение пленки,нет фурнитуры",ГЭОС,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"8 400,00"
"105 Умывальник ""Дуглас 1050""",,,,д5983,заводской брак,скол эмали,Кировская керамика АО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002061 от 12.09.2025 10:36:16,,Существенный,1,,"6 761,42"
"A080 Бачок для унитаза-компакта, арматура",,,,д5957,заводской брак,"засорки ,точки",Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"1 702,94"
"A080 Унитаз, сиденье тонкое ДП, крепления (без бачка)",,,,д5958,заводской брак,отслоение эмали,Китай - Виздом,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"3 784,31"
Зеркало Bricks 50x70 light прямоугольное с LED подсветкой (2 варианта навеса),,,,д6095,заводской брак,Царапина под пленкой,ДАБЛ-Ю ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002062 от 12.09.2025 10:54:05,,Существенный,1,,"2 660,78"
Зеркало Liberty 80x80 light прямоугольное с LED подсветкой,,,,д6094,заводской брак,Царапина под пленкой,ДАБЛ-Ю ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002062 от 12.09.2025 10:54:05,,Существенный,1,,"3 334,21"
"Унитаз-моноблок 5003B с биде безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6093,течь,течь,Китай - Виздом,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002091 от 06.10.2025 14:33:54,,Существенный,1,,"8 202,37"
"Сиденье ДП с доводчиком для унитаза 5003, 5003B (подходит к T1017, T1087, SM9601R, SM9614, K51)",,,,д6092,заводской брак,Скол на сиденье,Китай - Виздом,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002091 от 06.10.2025 14:33:54,,Существенный,1,,"998,86"
"105 Тумба ""Cosmo 105"" (ум. Стиль 1050)",,,,д6097,заводской брак,трещена на дне,Ротачев С.А.,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"6 632,98"
"A080 Унитаз, сиденье тонкое ДП, крепления (без бачка)",,,,д6096,заводской брак,царапины на ободе ,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"3 784,31"
