,,,,,,,,,,,,,,
Параметры:,,Период: 01.12.2025 - 31.12.2025,,,,,,,,,,,,
,,,,,,,,,,,,,,
Причина списания (из документа списания),,,,Источник дефекта,Причина претензии,Номенклатура.Поставщик,Количество,Себестоимость,,,,,,
Номенклатура,,,,,,,,,,Персональный номер,Акт о браке,Склад,Документ списания,Комментарий
_МП утилизация / комиссия МП,,,,Возвраты от Маркетплейсов,"Бой ОЗОН, Яндекс",Китай - Виздом,19,"134 002,7",,,,,,
утилизация / комиссия,,,,Акт_тек клиента,заводской брак,Китай - Смув,1,"6 441,31",,,,,,
"Унитаз-моноблок SM9614 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"6 441,31",,Д7575,Акт о браке 000021957 от 11.12.2025 9:45:27,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
_МП утилизация / комиссия МП,,,,,,КЕРАМИКА ООО,1,"6 293,7",,,,,,
"100 Умывальник ""Беверли-100""",,,,,,,1,"6 293,7",,МП6416,,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
утилизация / комиссия,,,,При проверке ОТК,бой\скол от поставщика,КЕРАМИК СОЛЮШНС РУС ООО,2,"6 258,6",,,,,,
"70 Раковина встраив.: COMO 70 1 отв., белый, Сорт1(18)",,,,,,,1,"3 528,3",,Е893,Акт о браке 000021940 от 09.12.2025 14:13:26,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"60 Раковина встраив.: COMO 60 1 отв., белый, Сорт1(24)",,,,,,,1,"2 730,3",,Е894,Акт о браке 000021940 от 09.12.2025 14:13:26,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
утилизация / комиссия,,,,Акт_тек клиента,бой при доставке,ВЕРСАЛЬ ООО,1,"6 088,54",,,,,,
"80 Подвесная тумба ""Forest 80"" (ум. А433 BM /А433 WGM) Pur-клей",,,,,,,1,"6 088,54",,Д7366,Акт о браке 000021777 от 02.12.2025 10:52:01,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Акт_тек клиента,бой в целой коробке,ТД УЛГРАН ООО,1,6 042,,,,,,
"Раковина Siena 600 на стир. машину  600*600*100 (кронштейны, сифон в компл)",,,,,,,1,6 042,,Д7285,Акт о браке 000021804 от 02.12.2025 12:10:14,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Акт_тек клиента,бой при доставке,Строй Керамика Сервис,2,"5 874,77",,,,,,
Унитаз-компакт Элисса ОПТИМА  Белый нижний подвод (Старый Оскол),,,,,,,1,"4 268,78",,Д7343,Акт о браке 000021790 от 02.12.2025 11:22:34,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
52 Умывальник мебельный  Альфана 52 с/о,,,,,,,1,"1 605,99",,Д7154,Акт о браке 000021681 от 25.11.2025 9:15:46,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Акт_тек клиента,бой при хранении (клиент),Китай - Тренд,1,"5 606,11",,,,,,
"Унитаз-моноблок TR1197 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"5 606,11",,Д7261,Акт о браке 000021629 от 20.11.2025 13:43:13,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Претензия клиента,заводской брак,++ ТК ТЗС ООО,2,"5 546,35",,,,,,
"Поддон ""Donatony"" 800*800*160 стальной полукруглый белый",,,,,,,1,"3 373,55",,Д7360,Акт о браке 000021707 от 25.11.2025 15:46:15,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"0402.604 Смеситель для мойки одноручный ""Juguni"" с гибкой подводкой, JGN0420/D, излив вытяжной с лейкой 40 картридж",,,,,,,1,"2 172,8",,Д7281,Акт о браке 000021720 от 26.11.2025 13:58:59,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Претензия клиента,заводской брак,Китай - Хангпай,2,"5 530,36",,,,,,
"A2807. A2808, A2809 Бачок для унитаза-компакта, арматура",,,,,,,1,"2 765,18",,Д7664,Акт о браке 000022043 от 19.12.2025 11:26:11,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"A2807. A2808, A2809 Бачок для унитаза-компакта, арматура",,,,,,,1,"2 765,18",,Д7665,Акт о браке 000022055 от 19.12.2025 13:21:36,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
утерян товар водителем/претензия выставлена,,,,,,ВЕРСАЛЬ ООО,2,"5 229,45",,,,,,
"75 Зеркало-шкаф ""Vesta 75"" № 3 белый глянец Pur-клей",,,,,,,1,"3 195,43",,,,Склад РВП ОСНОВНОЙ,Списание недостач товаров ГФУТ-000119 от 02.12.2025 9:49:50,"сз000023279 Кочергин Виктор Николаевич потерял зеркало претензия№32528
составлен Акт о возмещении ущерба№ЛИУТ-000042 ТК Силаев Аркадий Валерьевич"
"50 Зеркало-шкаф ""НИКА 50""  прав.",,,,,,,1,"2 034,02",,,,Склад РВП ОСНОВНОЙ,Списание недостач товаров ГФУТ-000118 от 02.12.2025 9:47:49,"акт тек№31843 потерял зеркало Волковский Вадим Владиславович
составлен Акт о возмещении ущерба№ЛИУТ-000041 ТК Волковская Наталья Олеговна"
утилизация / комиссия,,,,Претензия клиента,заводской брак,Китай - Виздом,1,"5 216,23",,,,,,
"A080 Унитаз-компакт, сиденье тонкое ДП, крепления, арматура, гориз. выпуск",,,,,,,1,"5 216,23",,Д7562,Акт о браке 000021953 от 10.12.2025 15:01:46,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
комплектация товара на складе ВП,,,,,,Китай - Тренд,9,"4 976,27",,,,,,
"Клапан подачи воды к инсталляциям EvaGold 400, 500, 500 НЕО, 500P, 500S",,,,,,,9,"4 976,27",,,,Склад РВП комплектующие транзит,Списание недостач товаров ГФУТ-000123 от 05.12.2025 9:58:39,"по распоряжению №2533
Комплектация на складе ВП инсталляции"
утерян товар водителем/претензия выставлена,,,,,,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,1,"4 784,54",,,,,,
"Унитаз-компакт ""Премиум 2"" Home de Luxe GESSO  кос.выпуск,  2уров. арматура, сид. микролифт",,,,,,,1,"4 784,54",,,,Склад РВП ОСНОВНОЙ,Списание недостач товаров ГФУТ-000129 от 22.12.2025 12:46:53," сз000023430 Гамуляк Андрей Михайлович потерял компакт претензия№32668
составлен ТК Аверьянов Акт о возмещении ущерба№ЛИУТ-000047 от 22.12.25"
утилизация / комиссия,,,,Акт_тек клиента,заводской брак,++ ТК ТЗС ООО,2,"4 672,76",,,,,,
"Поддон ""Laguna"" 700*700*130 стальной квадрат белый",,,,,,,1,"2 336,38",,Д7538,Акт о браке 000022006 от 16.12.2025 13:56:53,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"Поддон ""Laguna"" 700*700*130 стальной квадрат белый",,,,,,,1,"2 336,38",,Д7539,Акт о браке 000022006 от 16.12.2025 13:56:53,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
утилизация / комиссия,,,,Акт_тек клиента,бой при доставке,Китай - Тренд,2,"4 455,46",,,,,,
"Унитаз безободковый EG302, сиденье тонкое ДП, крепления (без бачка)",,,,,,,1,"3 163,38",,Д7472,Акт о браке 000021856 от 03.12.2025 14:06:54,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Бачок для унитаза-компакта EG302, арматура",,,,,,,1,"1 292,08",,Д7571,Акт о браке 000022001 от 16.12.2025 13:17:41,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
утилизация / комиссия,,,,При проверке ОТК,бой\скол от поставщика,Мир зеркал ООО,2,"4 399,1",,,,,,
"Зеркало Италия овальное 570х770 (LED-подсветка, сенсорный выключатель)",,,,,,,1,4 399,,Д7714,Акт о браке 000022063 от 22.12.2025 11:17:29,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"Зеркало Виола-лофт овальное 500х1000/1000х500 (без подсветки, рама пластик, гор-вер)",,,,,,,1,"0,1",,Д7702,Акт о браке 000022060 от 19.12.2025 15:08:01,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
утилизация / комиссия,,,,Акт_тек клиента,бой при доставке,Мир зеркал ООО,1,4 399,,,,,,
"Зеркало ""Давид"" прямоугольное 800х550 (LED подсветка, сенс. выключатель, диммер)",,,,,,,1,4 399,,Д7125,Акт о браке 000021676 от 25.11.2025 9:11:49,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,При проверке ОТК,бой при хранении (склад),Ротачев С.А.,1,"4 163,47",,,,,,
"70 Зеркало-шкаф ""Fantasy 70"" венге",,,,,,,1,"4 163,47",,Д7440,Акт о браке 000021763 от 01.12.2025 15:55:24,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Акт_тек клиента,бой в целой коробке,++ ТК ТЗС ООО,1,"3 815,14",,,,,,
"Поддон ""Laguna"" 900*900*130 стальной квадрат белый",,,,,,,1,"3 815,14",,Д7239,Акт о браке 000021617 от 20.11.2025 13:18:20,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Претензия клиента,течь,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,1,"3 813,17",,,,,,
"Унитаз-компакт ""W 102"" GESSO  кос.выпуск, ниж.подвод, 1 уров. арматура, сид. полипропилен",,,,,,,1,"3 813,17",,Д7421,Акт о браке 000021755 от 01.12.2025 13:50:03,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
списание на удалении (ОПТ),,,,,,КЕРАМИКА ООО,2,"3 812,04",,,,,,
"50 Умывальник ""Ладога-50""",,,,,,,2,"3 812,04",,,,Склад РВП ОСНОВНОЙ,Списание недостач товаров ГФУТ-000134 от 24.12.2025 11:07:48,по претензии№32054 списание на удалении
списание на удалении (ОПТ),,,,,,Китай - Виздом,1,"3 665,01",,,,,,
"Унитаз подвесной K505 безободковый, сиденье тонкое ДП, крепления",,,,,,,1,"3 665,01",,,,Склад РВП ОСНОВНОЙ,Списание недостач товаров НГУТ-000001 от 09.12.2025 16:26:26,"ЗРС, товар у конечного покупателя. Чухрий"
утилизация / комиссия,,,,Акт_тек клиента,бой в целой коробке,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,1,"3 610,05",,,,,,
"Унитаз-компакт ""W 101"" GESSO  кос.выпуск, ниж. подвод,1 уров. арматура, сид. полипропилен",,,,,,,1,"3 610,05",,Д7699,Акт о браке 000022103 от 23.12.2025 15:57:06,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
утилизация / комиссия,,,,Акт_тек клиента,течь,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,1,"3 604,8",,,,,,
"Унитаз-компакт ""W 101"" GESSO  кос.выпуск, ниж. подвод,1 уров. арматура, сид. полипропилен",,,,,,,1,"3 604,8",,Д7448,Акт о браке 000021833 от 03.12.2025 10:00:43,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,В приходе от поставщика,бой\скол от поставщика,Китай - Персн,1,"3 545,61",,,,,,
"Унитаз подвесной EG100 безободковый, сиденье тонкое ДП, крепления",,,,,,,1,"3 545,61",,Е48,Акт о браке 000020815 от 24.09.2025 16:49:17,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
комплектация товара на складе ВП,,,,,,Китай - Смув,4,"3 499,26",,,,,,
"Сиденье ДП с доводчиком для унитаза SM9614 (подходит к T1017, SM9601, SM9601R, 5003, T1087, K51) тонкое",,,,,,,3,"2 936,61",,,,Склад РВП ОСНОВНОЙ,Списание недостач товаров ГФУТ-000128 от 22.12.2025 10:29:15,по распор№2553
"Арматура 2х кноп., ниж. подвод воды для унитаза-моноблока SM9601, SM9601R - 19*9 см, d=6 см",,,,,,,1,"562,65",,,,Склад РВП ОСНОВНОЙ,Списание недостач товаров ГФУТ-000128 от 22.12.2025 10:29:15,по распор№2553
утилизация / комиссия,,,,Акт_тек клиента,бой при доставке,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,1,"3 499,11",,,,,,
"Унитаз-компакт ""Луна"" кос.выпуск, ниж.подвод, 1 уров. арматура, сиденье полипропилен",,,,,,,1,"3 499,11",,Д7346,Акт о браке 000021787 от 02.12.2025 11:15:01,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Акт_тек клиента,на рассмотрении,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,1,"3 499,11",,,,,,
"Унитаз-компакт ""Луна"" кос.выпуск, ниж.подвод, 1 уров. арматура, сиденье полипропилен",,,,,,,1,"3 499,11",,Д7306,Акт о браке 000021650 от 24.11.2025 13:27:39,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Акт_тек клиента,заводской брак,Китай - Лори,1,"3 481,16",,,,,,
"A2102 Унитаз-компакт, безободковый, сиденье ПП, крепления, арматура, гориз. выпуск 1к.",,,,,,,1,"3 481,16",,Д7495,Акт о браке 000021893 от 08.12.2025 9:18:22,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
утилизация / комиссия,,,,Акт_тек клиента,бой в целой коробке,Китай - Лори,1,"3 481,15",,,,,,
"A2102 Унитаз-компакт, безободковый, сиденье ПП, крепления, арматура, гориз. выпуск 1к.",,,,,,,1,"3 481,15",,Д7725,Акт о браке 000021612 от 20.11.2025 12:52:48,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Претензия клиента,заводской брак,Китай - Лори,1,"3 481,15",,,,,,
"A2102 Унитаз-компакт, безободковый, сиденье ПП, крепления, арматура, гориз. выпуск 1к.",,,,,,,1,"3 481,15",,Д7437,Акт о браке 000021867 от 03.12.2025 14:49:26,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Претензия клиента,бой при хранении (клиент),ВЕРСАЛЬ ООО,1,"3 176,83",,,,,,
"75 Зеркало-шкаф ""Vesta 75"" графит Pur-клей",,,,,,,1,"3 176,83",,Д7585,Акт о браке 000021967 от 12.12.2025 9:49:42,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
утилизация / комиссия,,,,При проверке ОТК,бой\скол от поставщика,ЗАВОД ИНЖЕНЕРНОГО КАМНЯ ООО,1,"3 168,63",,,,,,
"Мойка композит. MARRB.НАОМИ Z11Q8 овал,темно-серая ,725x455x185 без сифона",,,,,,,1,"3 168,63",,Д7475,Акт о браке 000021831 от 03.12.2025 9:45:09,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,При проверке ОТК,бой\скол от поставщика,Кировская керамика АО,1,"3 096,24",,,,,,
"Унитаз-компакт ""Комфорт"" белый Киров, антивсплеск, кос.выпуск, сид.полипропилен, армат. 3/6",,,,,,,1,"3 096,24",,Д7300,Акт о браке 000021609 от 20.11.2025 12:44:03,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утерян товар водителем/претензия выставлена,,,,,,КЕРАМИКА ООО,1,"2 712,64",,,,,,
"65 Умывальник ""Стелла-65""",,,,,,,1,"2 712,64",,,,Склад РВП ОСНОВНОЙ,Списание недостач товаров ГФУТ-000116 от 02.12.2025 9:42:51,"водитель Аристов Павел Петрович потерял умывальник сз000022990
составлен Акт о возмещении ущерба№ЛИУТ-000039 ТК Богданов Олег Валерьевич"
утилизация / комиссия,,,,Акт_тек клиента,бой при доставке,КЕРАМИКА ООО,1,"2 712,64",,,,,,
"65 Умывальник ""Стелла-65""",,,,,,,1,"2 712,64",,Д7268,Акт о браке 000021610 от 20.11.2025 12:46:04,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Акт_тек клиента,Брак Сиденья,Китай - Хангпай,2,"2 653,04",,,,,,
Сиденье ДП с доводчиком для унитаза A2808,,,,,,,1,"1 361,74",,Д7586,Акт о браке 000022076 от 23.12.2025 12:55:27,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
Сиденье ДП с доводчиком для унитаза K504T,,,,,,,1,"1 291,3",,Д7304,Акт о браке 000021648 от 24.11.2025 9:15:13,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
комплектация товара на складе ВП,,,,,,Китай - Виздом,3,"2 648,87",,,,,,
"Сиденье ДП с доводчиком для унитаза 5003, 5003B (подходит к T1017, T1087, SM9601R, SM9614, K51)",,,,,,,2,"1 825,68",,,,Склад РВП ОСНОВНОЙ,Списание недостач товаров ГФУТ-000126 от 11.12.2025 9:05:43,"по распоряжению №2543
Комплектация на складе ВП инсталляции"
"Сиденье ДП с доводчиком для унитаза EG301T, A2801, A2801B, A8060",,,,,,,1,"823,19",,,,Склад РВП ОСНОВНОЙ,Списание недостач товаров ГФУТ-000126 от 11.12.2025 9:05:43,"по распоряжению №2543
Комплектация на складе ВП инсталляции"
комплектация товара на складе ВП,,,,,,Китай - Виландор,5,"2 622,78",,,,,,
"Сиденье ДП с доводчиком для унитаза T1027, T1028, T1029",,,,,,,2,"2 020,82",,,,Склад РВП ОСНОВНОЙ,Списание недостач товаров ГФУТ-000126 от 11.12.2025 9:05:43,"по распоряжению №2543
Комплектация на складе ВП инсталляции"
"Арматура 2х кноп., ниж. подвод воды для унитаза-моноблока T1027, T1028, T1029 - 29,4*9 см, d=6 см",,,,,,,1,"601,96",,,,Склад РВП ОСНОВНОЙ,Списание недостач товаров ГФУТ-000128 от 22.12.2025 10:29:15,по распор№2553
"Сиденье ДП с доводчиком для унитаза T1017, T1017B (подходит к SM9601,SM9614, SM9601R) тонкое",,,,,,,2,,,,,Склад РВП ОСНОВНОЙ,Списание недостач товаров ГФУТ-000126 от 11.12.2025 9:05:43,"по распоряжению №2543
Комплектация на складе ВП инсталляции"
утилизация / комиссия,,,,Акт_тек клиента,заводской брак,ТД УЛГРАН ООО,1,2 528,,,,,,
Мойка композит.Practik PR-M 575-004 ПРЯМОУГОЛЬНАЯ черный оникс 575*495*215 без сифона,,,,,,,1,2 528,,Д7245,Акт о браке 000021730 от 27.11.2025 14:00:35,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Акт_тек клиента,бой при хранении (клиент),ВЕРСАЛЬ ООО,1,"2 485,8",,,,,,
"60 Тумба ""НК -60""  (ум. Уют 600)",,,,,,,1,"2 485,8",,Д7378,Акт о браке 000021728 от 27.11.2025 11:51:49,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Акт_тек клиента,бой при хранении (клиент),Росток-Мебель,1,"2 485,67",,,,,,
"60 Зеркало-шкаф ""Olsen 60""",,,,,,,1,"2 485,67",,Д7529,Акт о браке 000021928 от 09.12.2025 11:44:48,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
утилизация / комиссия,,,,Акт_тек клиента,Брак Арматуры,КЕРАМИК СОЛЮШНС РУС ООО,2,2 484,,,,,,
Арматура наполнительная LINK PRO для инсталляции с гибкой подводкой STOUT SHF-0095-081010 ВР3/8х ВР 3/8,,,,,,,1,1 242,,Д7274,Акт о браке 000021588 от 19.11.2025 15:01:40,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
Арматура наполнительная LINK PRO для инсталляции с гибкой подводкой STOUT SHF-0095-081010 ВР3/8х ВР 3/8,,,,,,,1,1 242,,Д7339,Акт о браке 000021721 от 26.11.2025 14:20:01,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,При проверке ОТК,бой\скол от поставщика,ТД УЛГРАН ООО,1,2 478,,,,,,
Мойка композит.Practik PR-M 600-004 ПРЯМОУГОЛЬНАЯ черный оникс 600*420*190 без сифона,,,,,,,1,2 478,,Д7701,Акт о браке 000022058 от 19.12.2025 14:52:40,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
утилизация / комиссия,,,,Акт_тек клиента,Брак Сиденья,Китай - Виздом,3,"2 335,17",,,,,,
"Сиденье ДП с доводчиком для унитаза EG301T, A2801, A2801B, A8060",,,,,,,1,"823,2",,Д7514,Акт о браке 000021911 от 09.12.2025 9:48:25,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"Сиденье ДП с доводчиком для унитаза A2801, A2801B, A8060, EG301T",,,,,,,1,"755,99",,Д7563,Акт о браке 000021995 от 16.12.2025 12:50:03,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"Сиденье ДП с доводчиком для унитаза K707T, K708T",,,,,,,1,"755,98",,Д7258,Акт о браке 000021581 от 19.11.2025 10:42:29,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Акт_тек клиента,нарушены услов. эксплуат.,ВЕРСАЛЬ ООО,1,"2 328,5",,,,,,
"60 Тумба ""НК -60""  (ум. Уют 600)",,,,,,,1,"2 328,5",,Д7622,Акт о браке 000022024 от 18.12.2025 10:21:01,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
утилизация / комиссия,,,,В приходе от поставщика,бой\скол от поставщика,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,2,"2 235,82",,,,,,
Пьедестал W universal home de luxe,,,,,,,1,"1 117,91",,Д7710,Акт о браке 000022061 от 19.12.2025 16:59:37,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
Пьедестал W universal home de luxe,,,,,,,1,"1 117,91",,Д7711,Акт о браке 000022061 от 19.12.2025 16:59:37,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
утилизация / комиссия,,,,Акт_тек клиента,бой при доставке,Росток-Мебель,1,"2 116,3",,,,,,
"50 Зеркало-шкаф ""Leader 50"" Белый",,,,,,,1,"2 116,3",,Д7203,Акт о браке 000021605 от 20.11.2025 10:13:30,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,При проверке ОТК,не товарный вид склад,Строй Керамика Сервис,1,2 100,,,,,,
"Унитаз Фиона,Эльдорадо",,,,,,,1,2 100,,Д6614,Акт о браке 000020912 от 30.09.2025 8:42:38,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
утилизация / комиссия,,,,Акт_тек клиента,не обоснованная претензия,Ротачев С.А.,1,"2 069,93",,,,,,
50 Рукомойник белый мрамор  с зеркалом ( под мойку 50*50),,,,,,,1,"2 069,93",,Д6707,Акт о браке 000021959 от 11.12.2025 13:41:57,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
утилизация / комиссия,,,,Акт_тек клиента,Брак Сиденья,Китай - Смув,2,"2 014,21",,,,,,
"Сиденье ДП с доводчиком для унитаза SM9608, SM9615, SM9615 МРАМОР, SM9616 (подходит к K633, K633B, K634, K634B)",,,,,,,1,"1 035,34",,Д7560,Акт о браке 000021952 от 10.12.2025 14:57:12,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"Сиденье ДП с доводчиком для унитаза SM9614 (подходит к T1017, SM9601, SM9601R, 5003, T1087, K51) тонкое",,,,,,,1,"978,87",,Д7602,Акт о браке 000021979 от 15.12.2025 13:46:39,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
утилизация / комиссия,,,,Акт_тек клиента,бой при хранении (клиент),Китай - Виздом,1,"1 880,64",,,,,,
