,,,,,,,,,,,,,,
Параметры:,,Период: 01.12.2025 - 31.12.2025,,,,,,,,,,,,
,,,,,,,,,,,,,,
Причина списания (из документа списания),,,,Источник дефекта,Причина претензии,Номенклатура.Поставщик,Количество,Себестоимость,,,,,,
Номенклатура,,,,,,,,,,Персональный номер,Акт о браке,Склад,Документ списания,Комментарий
_МП утилизация / комиссия МП,,,,Возвраты от Маркетплейсов,"Бой ОЗОН, Яндекс",Китай - Виздом,19,"134 002,7",,,,,,
"Ванна стальная ""Classic"" 150*75 с ножками Казахстан (32)",,,,,,,1,"6 759,61",,Д7451,Акт о браке 000021863 от 03.12.2025 14:11:35,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Ванна стальная ""Classic"" 150*75 с ножками Казахстан (32)",,,,,,,1,"6 759,6",,Д7667,Акт о браке 000022081 от 23.12.2025 12:58:41,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"Поддон душевой 80*80*16 стальной ""Стандарт""  квадрат (Казахстан) (50)",,,,,,,1,3 102,,Д7594,Акт о браке 000022011 от 17.12.2025 10:03:04,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"Поддон душевой 80*80*16 стальной ""Стандарт""  квадрат (Казахстан) (50)",,,,,,,1,3 102,,Д7595,Акт о браке 000022011 от 17.12.2025 10:03:04,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
_МП утилизация / комиссия МП,,,,Возвраты от Маркетплейсов,"Бой ОЗОН, Яндекс",Овчинникова Марина Николаевна ИП (FSC),18,"47 536,06",,,,,,
"65 Зеркало-шкаф ""Sky 65""",,,,,,,1,"5 204,08",,МП6449,Акт о браке 000021934 от 09.12.2025 13:36:58,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
"65 Зеркало-шкаф ""Sky 65""",,,,,,,1,"5 204,08",,МП6450,Акт о браке 000021933 от 09.12.2025 13:34:02,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
"60 Зеркало-шкаф ""Sevilla 60""",,,,,,,1,"3 800,48",,МП6473,Акт о браке 000022093 от 23.12.2025 14:57:01,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000131 от 24.12.2025 9:37:28,списано на складе ДО(МП)
"70 Тумба ""Лотос 70"" 3 ящ. (ум. Эрика70)",,,,,,,1,"3 583,85",,МП6427,Акт о браке 000021855 от 03.12.2025 13:59:39,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
"70 Тумба ""Лотос 70"" 3 ящ. (ум. Эрика70)",,,,,,,1,"3 583,85",,МП6448,Акт о браке 000021931 от 09.12.2025 13:31:20,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
