№ п/п,Номенклатура,,,,Персональный номер,Причина претензии,Описание дефекта,Поставщик,Ответственность за брак,Переместить на склад,Док перемещения,Склад обнаружения,Претензия,Номер отправления,,,
Акт о браке 000022264 от 14.01.2026 9:10:59,,,,,,,,,,,,,,,"3,0",,"17213,0"
"43,0","Унитаз-компакт EG306T безободковый круговой смыв, сиденье тонкое ДП, крепления, арматура, горизонтальный выпуск (T2334)",,,,д7898,течь,течет в районе слива,Китай - Джиохол,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,,,1,,"5670,2"
"44,0","Унитаз-компакт EG306T безободковый круговой смыв, сиденье тонкое ДП, крепления, арматура, горизонтальный выпуск (T2334)",,,,д7901,течь,течет в районе слива,Китай - Джиохол,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,,,1,,"5670,2"
"45,0","Унитаз-компакт EG307T безободковый круговой смыв, сиденье тонкое ДП, крепления, арматура, горизонтальный выпуск (T2335)",,,,д7899,течь,течет в районе слива,Китай - Джиохол,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,,,1,,"5872,7"
Акт о браке 000022265 от 14.01.2026 9:15:03,,,,,,,,,,,,,,,"1,0",,"5872,7"
"46,0","Унитаз-компакт EG307T безободковый круговой смыв, сиденье тонкое ДП, крепления, арматура, горизонтальный выпуск (T2335)",,,,д7900,течь,течет в районе слива,Китай - Джиохол,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,,,1,,"5872,7"
Акт о браке 000022266 от 14.01.2026 9:20:10,,,,,,,,,,,,,,,"1,0",,"5872,7"
"47,0","Унитаз-компакт EG307T безободковый круговой смыв, сиденье тонкое ДП, крепления, арматура, горизонтальный выпуск (T2335)",,,,д7908,течь,течет,Китай - Джиохол,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,,,1,,"5872,7"
Акт о браке 000022267 от 14.01.2026 10:39:14,,,,,,,,,,,,,,,"1,0",,"2918,8"
"48,0","Унитаз-компакт ""Камелия"" белый Стандарт, кос.выпуск, ниж,.подвод, с сиденьем",,,,д7873,заводской брак,мушка на обаде,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,1,,"2918,8"
