№ п/п,Номенклатура,,,,Персональный номер,Причина претензии,Описание дефекта,Поставщик,Ответственность за брак,Переместить на склад,Док перемещения,Склад обнаружения,Претензия,Номер отправления,,,
"352,0","55 Умывальник ""Уют 550""",,,,мп6625,"Бой ОЗОН, Яндекс",7.1 | раковина - чаша - бой,Кировская керамика АО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000015 от 12.02.2026 8:39:37,Склад РВП ОСНОВНОЙ,,0190399343-0067,1,7.1 | раковина - чаша - бой,"1916,4"
Акт о браке 000022486 от 28.01.2026 14:19:52,,,,,,,,,,,,,,,"1,0",7.1 | раковина - чаша - бой,"2775,9"
"353,0","60 Раковина встраив.: COMO 60 1 отв., белый, Сорт1(24)",,,,мп6624,"Бой ОЗОН, Яндекс",7.1 | раковина - чаша - бой,КЕРАМИК СОЛЮШНС РУС ООО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000015 от 12.02.2026 8:39:37,Склад РВП ОСНОВНОЙ,,30484281-0062,1,7.1 | раковина - чаша - бой,"2775,9"
Акт о браке 000022498 от 29.01.2026 15:23:37,,,,,,,,,,,,,,,"1,0","6.1 | унитаз - бачок - бой,6.20 | унитаз - чаша - бой","6492,9"
"354,0","Унитаз-моноблок 5003 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,мп6652,"Бой ОЗОН, Яндекс","6.1 | унитаз - бачок - бой,6.20 | унитаз - чаша - бой",Китай - Хангпай,Клиент,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000015 от 12.02.2026 8:39:37,Склад РВП ОСНОВНОЙ,,40239294-0030,1,"6.1 | унитаз - бачок - бой,6.20 | унитаз - чаша - бой","6492,9"
Акт о браке 000022499 от 29.01.2026 15:28:50,,,,,,,,,,,,,,,"1,0",6.20 | унитаз - чаша - бой,"6492,9"
"355,0","Унитаз-моноблок 5003 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,мп6649,"Бой ОЗОН, Яндекс",6.20 | унитаз - чаша - бой,Китай - Хангпай,Клиент,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000015 от 12.02.2026 8:39:37,Склад РВП ОСНОВНОЙ,,0233500026-0006,1,6.20 | унитаз - чаша - бой,"6492,9"
Акт о браке 000022500 от 29.01.2026 15:34:15,,,,,,,,,,,,,,,"1,0",6.20 | унитаз - чаша - бой,"6492,9"
"356,0","Унитаз-моноблок 5003 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,мп6651,"Бой ОЗОН, Яндекс",6.20 | унитаз - чаша - бой,Китай - Хангпай,Клиент,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000015 от 12.02.2026 8:39:37,Склад РВП ОСНОВНОЙ,,68628765-0097,1,6.20 | унитаз - чаша - бой,"6492,9"
Акт о браке 000022501 от 29.01.2026 15:42:44,,,,,,,,,,,,,,,"1,0",,"6192,4"
"357,0","100 Умывальник ""Грэмми"" 1000",,,,мп6647,"Бой ОЗОН, Яндекс",7.1 | раковина - чаша - бой,Кировская керамика АО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000015 от 12.02.2026 8:39:37,Склад РВП ОСНОВНОЙ,,51017234-0061,1,,"6192,4"
Акт о браке 000022502 от 29.01.2026 15:45:21,,,,,,,,,,,,,,,"1,0",7.1 | раковина - чаша - бой,"5080,5"
"358,0","105 Умывальник ""Стиль 1050""",,,,мп6646,"Бой ОЗОН, Яндекс",7.1 | раковина - чаша - бой,Кировская керамика АО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000015 от 12.02.2026 8:39:37,Склад РВП ОСНОВНОЙ,,31007417-0542,1,7.1 | раковина - чаша - бой,"5080,5"
Акт о браке 000022503 от 29.01.2026 16:30:18,,,,,,,,,,,,,,,"1,0","2.3 | мебель - бой - угла,2.1 | мебель - бой - боковой стенки","5497,0"
"359,0","45 Подвесной пенал-шкаф ""Forest 45"" универсальный Pur-клей",,,,мп6650,"Бой ОЗОН, Яндекс","2.3 | мебель - бой - угла,2.1 | мебель - бой - боковой стенки",ВЕРСАЛЬ ООО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000015 от 12.02.2026 8:39:37,Склад РВП ОСНОВНОЙ,,36592033-0072,1,"2.3 | мебель - бой - угла,2.1 | мебель - бой - боковой стенки","5497,0"
Акт о браке 000022504 от 29.01.2026 16:31:22,,,,,,,,,,,,,,,"1,0","1.6 | многочисленные сколы,2.3 | мебель - бой - угла","2118,9"
"360,0","50 Подвесная тумба ""Leader 50"" (ум. Фостер 50/COMO 50) белый",,,,мп6648,"Бой ОЗОН, Яндекс","1.6 | многочисленные сколы,2.3 | мебель - бой - угла",Росток-Мебель,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000015 от 12.02.2026 8:39:37,Склад РВП ОСНОВНОЙ,,57675172-0072,1,"1.6 | многочисленные сколы,2.3 | мебель - бой - угла","2118,9"
Претензия клиента,,,,,,,,,,,,,,,"16,0",,"62908,4"
Акт о браке 000022249 от 12.01.2026 16:34:11,,,,,,,,,,,,,,,"1,0",,"4874,3"
"361,0",Выставочный стенд EvaGold для ПЯТИ умывальников ЕЛКА,,,,д7836,не товарный вид клиент ,нет упаковки,Росток-Мебель,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,,,1,,"4874,3"
Акт о браке 000022293 от 14.01.2026 15:58:18,,,,,,,,,,,,,,,"1,0",,"8828,2"
"362,0",Пенал-шкаф 60 В 2 ств.(корз),,,,д7945,бой при хранении (клиент),бой,Ротачев С.А.,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,,,1,,"8828,2"
Акт о браке 000022315 от 16.01.2026 10:41:19,,,,,,,,,,,,,,,"1,0",,"3093,8"
"363,0","Унитаз-компакт ""Соло"" белый  Киров, гор. выпуск, ниж. подвод, сид. полипропилен, армат. 3/6",,,,д7941,заводской брак,хол треск чаши,Кировская керамика АО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002186 от 05.02.2026 15:31:20,,1,,"3093,8"
Акт о браке 000022316 от 16.01.2026 11:14:01,,,,,,,,,,,,,,,"1,0",,"4381,8"
"364,0","65 Тумба ""Paola 65"" (ум. Оскар 65/ Вилис 65)",,,,д7944,бой в целой коробке,скол на выдвижном ящике,Росток-Мебель,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,1,,"4381,8"
Акт о браке 000022358 от 20.01.2026 14:10:44,,,,,,,,,,,,,,,"1,0",,"460,0"
"365,0",Правая дверь к 800 Шкаф навесной (для посуды) под сушку - Дуб Бунратти,,,,д7980,бой при доставке,скол,Ротачев С.А.,Транспортная компания,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,,,1,,"460,0"
Акт о браке 000022365 от 20.01.2026 14:38:13,,,,,,,,,,,,,,,"1,0",,"2918,8"
"366,0","Унитаз-компакт ""W 101"" GESSO  кос.выпуск, ниж. подвод,1 уров. арматура, сид. полипропилен",,,,д7967,заводской брак,"герметик,течь",ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,,,1,,"2918,8"
Акт о браке 000022368 от 20.01.2026 14:54:21,,,,,,,,,,,,,,,"1,0",,"6763,8"
"367,0","Унитаз-моноблок SM9615 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д7986,бой при хранении (клиент),бой чаши,Китай - Смув,Клиент,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,,,1,,"6763,8"
Акт о браке 000022399 от 21.01.2026 16:38:09,,,,,,,,,,,,,,,"1,0",,"861,5"
"368,0","Сиденье ДП с доводчиком для унитаза 5003, 5003B (подходит к T1017, T1087, SM9601R, SM9614, K51)",,,,д7911,бой в целой коробке,бой,Китай - Виздом,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002185 от 05.02.2026 14:08:21,,1,,"861,5"
Акт о браке 000022423 от 22.01.2026 11:15:42,,,,,,,,,,,,,,,"1,0",,"4114,6"
"369,0","60 Зеркало-шкаф ""Sevilla 60""",,,,д8005,бой в целой коробке,скол на зеркале,Ротачев С.А.,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,1,,"4114,6"
Акт о браке 000022456 от 28.01.2026 9:29:01,,,,,,,,,,,,,,,"1,0",,"6554,4"
"370,0","Унитаз-моноблок SM9601R безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д8094,заводской брак,течь,Китай - Смув,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000016 от 12.02.2026 8:39:50,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"6554,4"
Акт о браке 000022488 от 28.01.2026 14:49:42,,,,,,,,,,,,,,,"1,0",,"3478,6"
"371,0","75 Зеркало-шкаф ""Vesta 75"" графит Pur-клей",,,,д8088,заводской брак,отслоение пленки на двери,ВЕРСАЛЬ ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,1,,"3478,6"
Акт о браке 000022489 от 28.01.2026 15:12:56,,,,,,,,,,,,,,,"1,0",,"3889,2"
"372,0",Зеркало Liberty 100x80 light прямоугольное с LED подсветкой (2 варианта навеса),,,,д8093,бой при хранении (клиент),скол,ДАБЛ-Ю ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000016 от 12.02.2026 8:39:50,Склад РВП ОСНОВНОЙ,,,1,,"3889,2"
Акт о браке 000022511 от 30.01.2026 11:02:44,,,,,,,,,,,,,,,"1,0",,"3540,9"
"373,0","A2801 Унитаз безободковый, сиденье тонкое ДП, крепления (без бачка)",,,,д8131,заводской брак,царапина на ободе,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002185 от 05.02.2026 14:08:21,,1,,"3540,9"
Акт о браке 000022518 от 30.01.2026 13:41:03,,,,,,,,,,,,,,,"1,0",,"229,1"
"374,0","Арматура АБ 69.55.17.3 (для Элисса н/п, Дора, Элисса Оптима)",,,,д8111,заводской брак,бой,Строй Керамика Сервис,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000016 от 12.02.2026 8:39:50,Склад РВП ОСНОВНОЙ,,,1,,"229,1"
Акт о браке 000022524 от 30.01.2026 15:21:22,,,,,,,,,,,,,,,"1,0",,"2546,7"
"375,0","Поддон низкий к ДК F901WS-Q, F901BS-Q, T901BB-Q (90*90*13)",,,,д8063,бой при хранении (клиент),бой,Китай - Санвей,Клиент,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000016 от 12.02.2026 8:39:50,Склад РВП ОСНОВНОЙ,,,1,,"2546,7"
Акт о браке 000022525 от 30.01.2026 15:25:47,,,,,,,,,,,,,,,"1,0",,"6372,7"
"376,0","Унитаз-моноблок SM9618 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д8133,заводской брак,течь,Китай - Смув,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000016 от 12.02.2026 8:39:50,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"6372,7"
При проверке ОТК ,,,,,,,,,,,,,,,"58,0",,"483014,1"
Акт о браке 000022209 от 12.01.2026 9:14:46,,,,,,,,,,,,,,,"6,0",,"35195,7"
"377,0","Унитаз-моноблок SM9615 МРАМОР безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е1023,заводской брак,потертость на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"8189,9"
"378,0","Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е1026,заводской брак,потертость на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"6657,5"
"379,0","Унитаз-моноблок SM9614 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е1030,заводской брак,потертость на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"6352,9"
"380,0","Унитаз-моноблок SM9614 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е1022,заводской брак,потертость на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"6352,9"
"381,0","Унитаз безободковый EG309T, сиденье тонкое ДП, крепления (без бачка)",,,,е10332,заводской брак,метализация на ободе ,Китай - Джинсили,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002178 от 05.02.2026 9:57:48,,1,,"4329,0"
"382,0","A2801 Унитаз безободковый, сиденье тонкое ДП, крепления (без бачка)",,,,е1021,заводской брак,мушки на ободе ,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002185 от 05.02.2026 14:08:21,,1,,"3313,4"
Акт о браке 000022210 от 12.01.2026 9:21:57,,,,,,,,,,,,,,,"1,0",,"4329,0"
"383,0","Унитаз безободковый EG311T, сиденье тонкое ДП, крепления (без бачка)",,,,е1025,заводской брак,окрас на ободе ,Китай - Джинсили,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002178 от 05.02.2026 9:57:48,,1,,"4329,0"
Акт о браке 000022236 от 12.01.2026 14:39:41,,,,,,,,,,,,,,,"1,0",,"4329,0"
"384,0","Унитаз безободковый EG309T, сиденье тонкое ДП, крепления (без бачка)",,,,е1033,заводской брак,недолив на ободе ,Китай - Джинсили,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002178 от 05.02.2026 9:57:48,,1,,"4329,0"
Акт о браке 000022253 от 13.01.2026 10:13:57,,,,,,,,,,,,,,,"3,0",,"73174,2"
"385,0",Ванна ГМ 1700*850*630 с насосом OLB-801 с переливом,,,,к18,заводской брак,видимые следы потертости акрила возле поручня,Китай - Олуба,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП комплектующие транзит,Претензия поставщику 000002175 от 03.02.2026 17:29:42,,3,,"73174,2"
Акт о браке 000022255 от 13.01.2026 10:15:42,,,,,,,,,,,,,,,"1,0",,"24391,4"
"386,0",Ванна ГМ 1700*850*630 с насосом OLB-801 с переливом,,,,к17,заводской брак,"вмятина на поручне,дефект литья на экране,инородные вкрапления на акриле ",Китай - Олуба,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП комплектующие транзит,Претензия поставщику 000002175 от 03.02.2026 17:29:42,,1,,"24391,4"
Акт о браке 000022263 от 13.01.2026 15:48:17,,,,,,,,,,,,,,,"1,0",,"5002,2"
"387,0","Унитаз-компакт ""Элегант"" черный  Киров, кос. выпуск, сид.полипропилен",,,,д7815,бой\скол от поставщика,бой ,Кировская керамика АО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,,,1,,"5002,2"
Акт о браке 000022297 от 15.01.2026 9:21:32,,,,,,,,,,,,,,,"1,0",,"3264,1"
"388,0","60 Тумба ""Paola 60"" (ум. Элеганс 60)",,,,д7934,бой\скол от поставщика,бой обнаружен при проверке ,Росток-Мебель,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,,,1,,"3264,1"
Акт о браке 000022338 от 20.01.2026 11:06:33,,,,,,,,,,,,,,,"7,0",,"44086,5"
"389,0","A2801 Унитаз безободковый, сиденье тонкое ДП, крепления (без бачка)",,,,е1039,не товарный вид склад,не товарный вид упаковки ,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002185 от 05.02.2026 14:08:21,,1,,"3313,4"
"390,0","Унитаз-моноблок 5005T безободковый круговой смыв, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е1041,заводской брак,метализация на ободе ,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002185 от 05.02.2026 14:08:21,,1,,"6954,0"
"391,0","Унитаз-моноблок SM9615 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е1044,заводской брак,метализация на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"6763,8"
"392,0","Унитаз-моноблок SM9615 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е1045,заводской брак,метализация на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"6763,8"
"393,0","Унитаз-моноблок SM9615 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е1046,заводской брак,метализация на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"6763,8"
"394,0","Унитаз-моноблок SM9615 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е1042,заводской брак,метализация на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"6763,8"
"395,0","Унитаз-моноблок SM9615 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е1043,заводской брак,метализация на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"6763,8"
Акт о браке 000022339 от 20.01.2026 11:09:46,,,,,,,,,,,,,,,"6,0",,"31659,6"
"396,0","Унитаз-моноблок SM9615 МРАМОР безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е1040,бой\скол от поставщика,бой,Китай - Смув,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"8189,9"
"397,0","Унитаз-моноблок SM9601R безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е1051,бой\скол от поставщика,бой,Китай - Смув,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"6554,4"
"398,0","Унитаз-моноблок SM9601R безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е1050,бой\скол от поставщика,бой,Китай - Смув,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"6554,4"
"399,0","A2101 Унитаз-компакт, сиденье ПП, крепления, арматура, гориз. выпуск 1к.",,,,е1049,бой\скол от поставщика,бой,Китай - Лори,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002179 от 05.02.2026 9:58:53,,1,,"3255,3"
"400,0","A080 Унитаз, сиденье тонкое ДП, крепления (без бачка)",,,,е1047,бой\скол от поставщика,бой,Китай - Виздом,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002185 от 05.02.2026 14:08:21,,1,,"3552,9"
"401,0","A080 Унитаз, сиденье тонкое ДП, крепления (без бачка)",,,,е1048,бой\скол от поставщика,бой,Китай - Виздом,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002185 от 05.02.2026 14:08:21,,1,,"3552,9"
Акт о браке 000022341 от 20.01.2026 11:28:04,,,,,,,,,,,,,,,"1,0",,"1314,2"
"402,0","Умывальник ""Луна"" 520*400*190 белый с отверстием ",,,,д7979,бой\скол от поставщика,бой,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,,,1,,"1314,2"
Акт о браке 000022344 от 20.01.2026 11:49:08,,,,,,,,,,,,,,,"1,0",,"4663,2"
"403,0","80 Подвесная тумба ""Liberty №2 80"" (Como 80; ум. Грэмми 80; Фостер 80) (белый)  Pur-клей",,,,д7833,бой\скол от поставщика,бой,ВЕРСАЛЬ ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),,,1,,"4663,2"
Акт о браке 000022366 от 20.01.2026 14:50:47,,,,,,,,,,,,,,,"1,0",,"3528,3"
"404,0","70 Раковина встраив.: COMO 70 1 отв., белый, Сорт1(18)",,,,д7561,бой\скол от поставщика,бой,КЕРАМИК СОЛЮШНС РУС ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),,,1,,"3528,3"
Акт о браке 000022376 от 21.01.2026 9:21:55,,,,,,,,,,,,,,,"3,0",,"11946,7"
"405,0","80 Подвесная тумба ""Forest 80"" ОБРАЗЕЦ",,,,д7991,*Образцы из ОФИСА,бой ,ВЕРСАЛЬ ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),,,1,,"6623,5"
"406,0","Дверь к 70 Зеркало-шкаф ""Era 70"" Монте белый",,,,д7992,заводской брак,сколы,ВЕРСАЛЬ ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),,,1,,"814,2"
"407,0","Зеркало ""Милуз"" круглое d650 (LED подсветка, Cенсорный выключатель)",,,,д7993,бой\скол от поставщика,бой ,Мир зеркал ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),,,1,,"4509,0"
Акт о браке 000022377 от 21.01.2026 9:32:43,,,,,,,,,,,,,,,"2,0",,"19870,0"
"408,0","100 Тумба ""Giovanni 100 ""T"" (ум. Модерн 105) с сифоном",,,,д7697,Не подлежит реставрации,не подлежит реставрации ,ГЭОС,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,,,1,,"9935,0"
"409,0","100 Тумба ""Giovanni 100 ""T"" (ум. Модерн 105) с сифоном",,,,д7698,Не подлежит реставрации,не подлежит реставрации ,ГЭОС,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,,,1,,"9935,0"
Акт о браке 000022378 от 21.01.2026 10:04:50,,,,,,,,,,,,,,,"1,0",,"3621,3"
"410,0","Мойка композит. MARRB.ЭНДИ Z16Q4 прямоугольная,черный,740x490x210 без сифона",,,,д7990,бой\скол от поставщика,бой,ЗАВОД ИНЖЕНЕРНОГО КАМНЯ ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),,,1,,"3621,3"
Акт о браке 000022441 от 26.01.2026 11:35:52,,,,,,,,,,,,,,,"1,0",,"25414,7"
"411,0",Ванна ГМ 1600*1000*600 с насосом OLB-842R с переливом,,,,к19,заводской брак,многочисленные потертости,Китай - Олуба,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП комплектующие транзит,Претензия поставщику 000002175 от 03.02.2026 17:29:42,,1,,"25414,7"
Акт о браке 000022491 от 28.01.2026 16:14:34,,,,,,,,,,,,,,,"8,0",,"53260,2"
"412,0","Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е1061,заводской брак,метализация на ободе,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"6657,5"
"413,0","Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е1068,заводской брак,метализация на ободе,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"6657,5"
"414,0","Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е1070,заводской брак,метализация на ободе,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"6657,5"
"415,0","Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е1069,заводской брак,метализация на ободе,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"6657,5"
"416,0","Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е1066,заводской брак,метализация на ободе,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"6657,5"
"417,0","Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е1064,бой\скол от поставщика,бой,Китай - Смув,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000016 от 12.02.2026 8:39:50,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"6657,5"
